ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"17,187,508",5.18%
Blue Ridge PKWY,2,"16,733,639",5.04%
Great Smoky Mountains NP,3,"12,191,834",3.67%
Gateway NRA,4,"8,929,035",2.69%
Lincoln Memorial,5,"8,479,349",2.56%
Gulf Islands NS,6,"7,801,176",2.35%
Natchez Trace PKWY,7,"7,364,833",2.22%
George Washington MEM PKWY,8,"6,782,717",2.04%
Lake Mead NRA,9,"6,412,854",1.93%
Vietnam Veterans MEM,10,"5,295,711",1.60%
World War II MEM,11,"5,160,769",1.56%
Zion NP,12,"4,946,592",1.49%
Grand Canyon NP,13,"4,919,163",1.48%
Yellowstone NP,14,"4,744,353",1.43%
Glen Canyon NRA,15,"4,725,610",1.42%
Chesapeake & Ohio Canal NHP,16,"4,421,276",1.33%
Korean War Veterans MEM,17,"4,344,305",1.31%
Rocky Mountain NP,18,"4,154,349",1.25%
Yosemite NP,19,"4,121,807",1.24%
Delaware Water Gap NRA,20,"4,079,763",1.23%
Acadia NP,21,"3,961,661",1.19%
Cape Cod NS,22,"3,823,242",1.15%
Castle Clinton NM,23,"3,822,759",1.15%
Statue of Liberty NM,24,"3,722,029",1.12%
Olympic NP,25,"3,717,267",1.12%
Grand Teton NP,26,"3,628,222",1.09%
"Martin Luther King, Jr. MEM",27,"3,251,594",0.98%
Franklin Delano Roosevelt MEM,28,"3,225,923",0.97%
Glacier NP,29,"3,208,755",0.97%
Joshua Tree NP,30,"2,991,874",0.90%
Chattahoochee River NRA,31,"2,940,804",0.89%
Thomas Jefferson MEM,32,"2,915,319",0.88%
Cuyahoga Valley NP,33,"2,912,454",0.88%
Independence NHP,34,"2,798,651",0.84%
Cape Hatteras NS,35,"2,762,954",0.83%
Boston NHP,36,"2,744,458",0.83%
Indiana Dunes NP,37,"2,705,209",0.82%
Gateway Arch NP,38,"2,563,052",0.77%
Colonial NHP,39,"2,551,228",0.77%
San Francisco Maritime NHP,40,"2,535,134",0.76%
Bryce Canyon NP,41,"2,498,075",0.75%
Hot Springs NP,42,"2,461,812",0.74%
Point Reyes NS,43,"2,371,800",0.71%
Stonewall NM,44,"2,302,641",0.69%
Assateague Island NS,45,"2,282,498",0.69%
Big Cypress NPRES,46,"2,216,708",0.67%
Rock Creek Park,47,"1,917,170",0.58%
Canaveral NS,48,"1,884,091",0.57%
Valley Forge NHP,49,"1,866,480",0.56%
