State,Park,Recreation Visitors,Percent Change
Alabama,Horseshoe Bend NMP,"64,063",-11.91%
Alabama,Little River Canyon NPRES,"763,209",8.93%
Alabama,Natchez Trace PKWY,"515,538",8.55%
Alabama,Russell Cave NM,"9,261",6.72%
Alabama,Tuskegee Airmen NHS,"28,474",28.95%
Alabama,Tuskegee Institute NHS,"10,037",21.97%
Alaska,Alagnak Wild River,278,20.35%
Alaska,Aniakchak NM & PRES,191,-4.02%
Alaska,Bering Land Bridge NPRES,"2,642",0.00%
Alaska,Cape Krusenstern NM,"17,736",-0.47%
Alaska,Denali NP & PRES,"466,227",-6.52%
Alaska,Gates of the Arctic NP & PRES,"11,907",7.80%
Alaska,Glacier Bay NP & PRES,"736,282",4.64%
Alaska,Katmai NP & PRES,"36,230",7.31%
Alaska,Kenai Fjords NP,"419,468",8.24%
Alaska,Klondike Gold Rush NHP Alaska,"1,336,008",4.02%
Alaska,Kobuk Valley NP,"17,233",-2.17%
Alaska,Lake Clark NP & PRES,"18,505",10.62%
Alaska,Noatak NPRES,"18,311",-4.17%
Alaska,Sitka NHP,"309,327",69.85%
Alaska,Wrangell-St. Elias NP & PRES,"81,670",4.30%
Alaska,Yukon-Charley Rivers NPRES,"1,700",68.15%
American Samoa,National Park of American Samoa,"22,567",85.97%
Arizona,Canyon de Chelly NM,"387,433",16.22%
Arizona,Casa Grande Ruins NM,"104,429",-6.25%
Arizona,Chiricahua NM,"71,390",14.07%
Arizona,Coronado NMEM,"164,426",17.37%
Arizona,Fort Bowie NHS,"8,483",1.80%
Arizona,Glen Canyon NRA,"1,142,900",0.16%
Arizona,Grand Canyon NP,"4,919,163",3.92%
Arizona,Hubbell Trading Post NHS,"46,419",-14.34%
Arizona,Lake Mead NRA,"1,603,215",10.59%
Arizona,Montezuma Castle NM,"379,967",3.47%
Arizona,Navajo NM,"58,442",32.28%
Arizona,Organ Pipe Cactus NM,"182,612",-2.14%
Arizona,Petrified Forest NP,"559,254",7.45%
Arizona,Pipe Spring NM,"24,530",2.14%
Arizona,Saguaro NP,"946,369",-6.38%
Arizona,Sunset Crater Volcano NM,"73,260",-10.13%
Arizona,Tonto NM,"30,840",-1.20%
Arizona,Tumacacori NHP,"35,256",-6.91%
Arizona,Tuzigoot NM,"108,283",5.19%
Arizona,Walnut Canyon NM,"187,205",22.72%
Arizona,Wupatki NM,"220,205",2.09%
Arkansas,Arkansas Post NMEM,"26,203",4.68%
Arkansas,Buffalo NR,"1,686,348",8.83%
Arkansas,Fort Smith NHS,"124,486",-7.88%
Arkansas,Hot Springs NP,"2,461,812",-1.64%
Arkansas,Little Rock Central High School NHS,"63,767",8.87%
Arkansas,Pea Ridge NMP,"102,621",-40.18%
Arkansas,President W.J. Clinton Birthplace Home NHS,"6,215",23.71%
California,Cabrillo NM,"845,912",4.41%
California,Cesar E. Chavez NM,"26,641",121.88%
California,Channel Islands NP,"262,581",-20.13%
California,Death Valley NP,"1,440,421",31.00%
California,Devils Postpile NM,"94,215",9.38%
California,Eugene O'Neill NHS,"17,653",13.62%
California,Fort Point NHS,"1,189,908",31.67%
California,Golden Gate NRA,"17,187,508",14.94%
California,John Muir NHS,"45,753",-10.06%
California,Joshua Tree NP,"2,991,874",-8.52%
California,Kings Canyon NP,"699,389",8.76%
California,Lassen Volcanic NP,"357,651",-14.64%
California,Lava Beds NM,"127,563",-6.32%
California,Manzanar NHS,"93,854",-10.97%
California,Mojave NPRES,"424,864",-63.96%
California,Muir Woods NM,"792,494",-2.12%
California,Pinnacles NP,"354,076",3.77%
California,Point Reyes NS,"2,371,800",4.57%
California,Port Chicago Naval Magazine NMEM,930,21.73%
California,Redwood NP,"622,883",52.26%
California,Rosie The Riveter WWII Home Front NHP,"34,913",-12.46%
California,San Francisco Maritime NHP,"2,535,134",43.27%
California,Santa Monica Mountains NRA,"639,745",-15.75%
California,Sequoia NP,"1,309,573",33.55%
California,Tule Lake NM,"3,810",39.51%
California,Whiskeytown NRA,"812,244",-11.74%
California,Yosemite NP,"4,121,807",5.77%
Colorado,Amache NHS,"4,771",
Colorado,Bent's Old Fort NHS,"16,102",-18.34%
Colorado,Black Canyon of the Gunnison NP,"335,862",-5.94%
Colorado,Colorado NM,"488,038",0.38%
Colorado,Curecanti NRA,"980,899",2.43%
Colorado,Dinosaur NM,"238,364",-1.35%
Colorado,Florissant Fossil Beds NM,"71,499",12.17%
Colorado,Great Sand Dunes NP & PRES,"437,661",-14.56%
Colorado,Hovenweep NM,"13,848",-10.68%
Colorado,Mesa Verde NP,"480,065",-4.97%
Colorado,Rocky Mountain NP,"4,154,349",0.94%
Colorado,Sand Creek Massacre NHS,"6,401",9.33%
Connecticut,Weir Farm NHP,"34,246",-5.69%
Delaware,First State NHP,"192,220",52.06%
District of Columbia,Belmont-Paul Women's Equality NM,"7,704",278.76%
District of Columbia,Carter G. Woodson Home NHS,30,
District of Columbia,Chesapeake & Ohio Canal NHP,"1,061,104",-1.10%
District of Columbia,Dwight D. Eisenhower MEM,"731,476",9.59%
District of Columbia,Ford's Theatre NHS,"457,132",16.26%
District of Columbia,Franklin Delano Roosevelt MEM,"3,225,923",-2.21%
District of Columbia,Frederick Douglass NHS,"25,836",100.22%
District of Columbia,Korean War Veterans MEM,"4,344,305",5.13%
District of Columbia,Lincoln Memorial,"8,479,349",4.69%
